Event	ID	Name			Wwise Object Path	Notes
	742274067	Play_SandWalk			\Default Work Unit\Joueur\Deplacement\Play_SandWalk	
	816640623	Play_SandRun			\Default Work Unit\Joueur\Deplacement\Play_SandRun	
	856797194	Play_WoodRunCrack			\Default Work Unit\Joueur\Deplacement\Play_WoodRunCrack	
	1139538480	Play_AMB_Crackle			\Default Work Unit\Ambiance\Play_AMB_Crackle	
	1653748802	Play_StoneWalk			\Default Work Unit\Joueur\Deplacement\Play_StoneWalk	
	1662667678	Play_WoodWalk			\Default Work Unit\Joueur\Deplacement\Play_WoodWalk	
	2252945843	Play_DownedBreath			\Default Work Unit\Joueur\Etats\Play_DownedBreath	
	2582806196	Play_AMB_Sandfall			\Default Work Unit\Ambiance\Play_AMB_Sandfall	
	2634720353	Play_AMB_EerieWhistle			\Default Work Unit\Ambiance\Play_AMB_EerieWhistle	
	2825354540	Play_WoodWalkCrack			\Default Work Unit\Joueur\Deplacement\Play_WoodWalkCrack	
	2959353627	Play_AMB_LoudWind			\Default Work Unit\Ambiance\Play_AMB_LoudWind	
	3061483191	Play_DownedHeartbeat			\Default Work Unit\Joueur\Etats\Play_DownedHeartbeat	
	3459422151	Play_OutOfBreath			\Default Work Unit\Joueur\Etats\Play_OutOfBreath	
	3882989320	Play_WoodRun			\Default Work Unit\Joueur\Deplacement\Play_WoodRun	
	3931500340	Play_StoneRun			\Default Work Unit\Joueur\Deplacement\Play_StoneRun	
	4002417895	Play_CrazyStatus			\Default Work Unit\Joueur\Etats\Play_CrazyStatus	

Switch Group	ID	Name			Wwise Object Path	Notes
	3865314626	Material			\Default Work Unit\Material	
	3995124918	EnnemyMovement			\Default Work Unit\EnnemyMovement	

Switch	ID	Name	Switch Group			Notes
	803837735	Sand	Material			
	1031440768	WoodCrack	Material			
	1216965916	Stone	Material			
	2058049674	Wood	Material			
	712161704	Run	EnnemyMovement			
	2108779966	Walk	EnnemyMovement			

Audio Bus	ID	Name			Wwise Object Path	Notes
	2246998526	Main Audio Bus			\Default Work Unit\Main Audio Bus	

Effect plug-ins	ID	Name	Type				Notes
	1259256166	New_RoomVerb	Wwise RoomVerb			
	1588715066	Echoes_Linear	Wwise Delay			
	1990128658	Room_Medium	Wwise RoomVerb			
	3164629247	Holy	Wwise RoomVerb			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	6845002	FootstepsWoodRun 21	.cache\BC\{BC83F5F1-E0AA-FEB3-B0B1-2EF6B1EE0CF7}.wem		\Containers\Default Work Unit\Joueur\Deplacement\Run\WoodRun\FootstepsWoodRun 21		58352
	9463951	Palanquin_End 4	.cache\E0\{E097F2F3-4613-30E1-F645-C6977C1D4D50}.wem		\Containers\Default Work Unit\Objets\Elements de LD\Palanquin\Palanquin\Palanquin_End\Palanquin_End 4		686752
	11586860	Palanquin_Start 1	.cache\53\{533FD854-14B0-90B3-2D44-94765E67ABE9}.wem		\Containers\Default Work Unit\Objets\Elements de LD\Palanquin\Palanquin\Palanquin_Start\Palanquin_Start 1		610400
	19526635	FootstepsEliteEnnemyRun 7	.cache\C4\{C4668D9A-35F3-D624-BBFD-639959BCEAF0}.wem		\Containers\Default Work Unit\Ennemis\Zeloth\EliteEnnemyMovement\EliteEnnemyRun\FootstepsEliteEnnemyRun 7		47572
	29652185	Palanquin_Empty 8	.cache\EB\{EBE2A4B8-C154-9269-239A-DC907FE72B9B}.wem		\Containers\Default Work Unit\Objets\Elements de LD\Palanquin\Palanquin_Empty\Palanquin_Empty 8		270608
	39757222	DownedHeartbeat 4	.cache\C0\{C070EEF4-9288-8C93-1AD4-2E89524E5A53}.wem		\Containers\Default Work Unit\Joueur\Etats\DownedHeartbeat\DownedHeartbeat 4		186320
	48180023	FootstepsSandRun 11	.cache\74\{74B574EB-B903-F885-F35C-0233F5CC6E44}.wem		\Containers\Default Work Unit\Joueur\Deplacement\Run\SandRun\FootstepsSandRun 11		50976
	49676772	Palanquin_Start 5	.cache\CC\{CCBFAFDB-FB57-9C3C-884D-048BBD5C47EB}.wem		\Containers\Default Work Unit\Objets\Elements de LD\Palanquin\Palanquin\Palanquin_Start\Palanquin_Start 5		854624
	52894827	AMB_Crackle1-01	.cache\48\{48C2A5B3-2DC7-1029-916D-14F9329E9C1C}.wem		\Containers\Default Work Unit\Ambiance\AMB_Crackle\AMB_Crackle1-01		793056
	54177496	FootstepsEliteEnnemyRun 10	.cache\49\{4973CD95-AA79-0C3B-AB96-82D85AC43064}.wem		\Containers\Default Work Unit\Ennemis\Zeloth\EliteEnnemyMovement\EliteEnnemyRun\FootstepsEliteEnnemyRun 10		49672
	59431872	AMB_Crackle3-01	.cache\38\{38259D15-1358-36AB-CC38-8DBDD501E92A}.wem		\Containers\Default Work Unit\Ambiance\AMB_Crackle\AMB_Crackle3-01		466656
	64511599	FootstepsSandRun 4	.cache\8C\{8C987078-1EBE-A9F6-8FFC-F1C0EDDCD239}.wem		\Containers\Default Work Unit\Joueur\Deplacement\Run\SandRun\FootstepsSandRun 4		51504
	70981290	OutOfBreath 9	.cache\D2\{D29DFE1F-ED45-D1ED-6778-16E5086D2B71}.wem		\Containers\Default Work Unit\Joueur\Etats\OutOfBreath\OutOfBreath 9		73240
	83414938	Palanquin_Travel	.cache\65\{65ACC4B8-FBFF-A75D-E099-7FF4F336B63E}.wem		\Containers\Default Work Unit\Objets\Elements de LD\Palanquin\Palanquin\Palanquin_Travel		4412006
	88711003	BoneMovement 6102_63_2	.cache\08\{0829947B-9B29-AF20-8B2B-53B55344F122}.wem		\Containers\Default Work Unit\Objets\Elements de LD\Trap\Trap_Bone\BoneMovement 6102_63_2		57440
	96992672	FootstepsEliteEnnemyRun 11	.cache\6F\{6F0BF2F3-EDED-888E-CB22-09075E09222A}.wem		\Containers\Default Work Unit\Ennemis\Zeloth\EliteEnnemyMovement\EliteEnnemyRun\FootstepsEliteEnnemyRun 11		52064
	98324690	FootstepsWoodRun 4	.cache\04\{04CA9309-8692-3C8F-4D87-F5ED316AAB66}.wem		\Containers\Default Work Unit\Joueur\Deplacement\Run\WoodRun\FootstepsWoodRun 4		58864
	101177060	FootstepsWoodRun 17	.cache\DF\{DF3D9661-36F9-9FD7-0E91-C784B698DB6A}.wem		\Containers\Default Work Unit\Joueur\Deplacement\Run\WoodRun\FootstepsWoodRun 17		58080
	101298648	DownedBreath 2	.cache\FC\{FC7A9746-03FD-BCEA-F558-85C9ECE473E5}.wem		\Containers\Default Work Unit\Joueur\Etats\DownedBreath\DownedBreath 2		346612
	105445102	OutOfBreath 10	.cache\40\{40002CAE-C5D9-CFD5-F925-FED6328943B1}.wem		\Containers\Default Work Unit\Joueur\Etats\OutOfBreath\OutOfBreath 10		71660
